sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0,0.0,0.0
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,7.482993197278912e-06,0.9898045332888458,101954.66711154232
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,1.4965986394557824e-05,0.9852125483470828,147874.51652917173
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,2.2448979591836737e-05,0.9839428002848899,160571.99715110104
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,2.9931972789115647e-05,0.9834957076641845,165042.92335815518
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,3.741496598639456e-05,0.9833716095859709,166283.9041402908
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,4.4897959183673474e-05,0.9834041566450875,165958.43354912486
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,5.2380952380952384e-05,0.983522224221338,164777.75778662052
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,5.9863945578231295e-05,0.9836903910521537,163096.08947846276
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,6.734693877551021e-05,0.9838890989699571,161109.01030042866
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,7.482993197278911e-05,0.9841067169811889,158932.830188111
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,8.231292517006803e-05,0.9843359341900889,156640.65809911088
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,8.979591836734695e-05,0.9845719564018461,154280.4359815386
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,9.727891156462585e-05,0.9848115351878829,151884.64812117108
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00010476190476190477,0.9850524131775135,149475.86822486535
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00011224489795918367,0.9852929913327987,147070.08667201316
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00011972789115646259,0.9855321210851685,144678.78914831477
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0001272108843537415,0.9857689699167255,142310.30083274533
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00013469387755102042,0.9860029318213173,139970.68178682736
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00014217687074829933,0.9862335661079094,137664.33892090645
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00014965986394557823,0.9864605546238898,135394.45376110182
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00015714285714285716,0.9866836712559841,133163.28744015892
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00016462585034013606,0.9869027598001193,130972.40199880677
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00017210884353741497,0.9871177176511967,128822.82348803287
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0001795918367346939,0.9873284836134854,126715.16386514647
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0001870748299319728,0.987535028676194,124649.71323805973
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0001945578231292517,0.9877373489543634,122626.51045636619
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0002020408163265306,0.9879354602322741,120645.39767725924
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00020952380952380954,0.9881293937074264,118706.06292573638
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00021700680272108844,0.9883191926440758,116808.0735592425
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00022448979591836734,0.9885049097229638,114950.90277036213
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00023197278911564627,0.9886866049289857,113133.95071014254
